Order ID,Product ID,Category,Sales,Quantity,Discount,Profit,Order Date,Shipment Date,Segment,City,Subcategory,Order Priority,Sales Channel,Region,Ship Mode,Customer ID,Customer Name,State,Postal Code,Product Name
6859616d-fa27-4b54-ad32-cb8d2c3d0e6b,53d01560-11a2-4f44-ba5e-539ea2369bd0,Technology,3666.76,4,0.16,1336.39,2023-04-18,2023-04-24,Home Office,Phoenix,Machines,Critical,Online,East,Standard,34055c5f-97b0-4064-b4d0-ee9d737b60e7,Brett Jenkins,South Carolina,18178,money
3d1911a1-5113-41cc-ab42-69f54a3bb731,cce1a068-c541-4e17-af34-f147e63a9961,Furniture,4752.84,3,0.19,574.75,2021-06-13,2021-06-20,Home Office,San Antonio,Phones,Critical,Online,North,Express,cd423d52-38a1-4453-b636-3563bbc93645,Anne Hines,Nebraska,66941,explain
676d4d85-19f9-47c7-a66e-a236b988dada,29a9ad9b-912c-49ba-9871-f42e520113fd,Furniture,4465.43,10,0.22,1050.64,2021-08-13,2021-08-23,Home Office,New York,Tables,Low,Offline,East,Standard,52dba1ed-fb86-4bd3-84eb-e8aa0c448d10,Elizabeth Castillo,Utah,51979,debate
a648c05a-4381-4ccd-8446-e1d3af1e1c50,401123ac-b596-41c0-8866-7abe2809a313,Technology,3796.4,9,0.16,1394.79,2020-08-06,2020-08-11,Consumer,San Diego,Phones,High,Offline,South,Express,611fdab9-0ee0-4b6c-97ea-013f81004b92,Linda Cameron,Vermont,80295,clearly
edba5628-cda9-4095-b6b3-d76638cf598e,1730f32d-0e30-4a13-af8e-b3f42923ed74,Office Supplies,2678.62,4,0.01,126.17,2021-03-02,2021-03-09,Consumer,Dallas,Art,High,Offline,East,Standard,ffdc3dc3-05f4-42a2-9e8d-be7fbb077373,Melissa Gibson,New York,56666,standard
64f89b1d-5db7-4db0-a88d-7b2aca483920,e2c79fe1-98cd-4172-ab7a-586ecd7a1458,Furniture,138.68,10,0.09,768.22,2024-09-06,2024-09-11,Corporate,San Jose,Chairs,Low,Online,West,Express,19082f8b-61f7-4e39-9d3e-5e289dfd0df6,Sandy Brown,Wisconsin,76752,article
8d1fb724-1a9a-498a-9cea-e9a77463d28c,1d9a94a9-d8c5-4f44-a4c0-5e717ef81cd4,Furniture,70.41,6,0.06,590.57,2022-04-08,2022-04-16,Home Office,New York,Copiers,Low,Offline,East,Standard,06cdd3e6-7d72-47d8-9b74-40d2d3244f28,Christopher Morgan,West Virginia,28724,indeed
6e89bae7-75bc-487e-a5b2-88e076d6982b,263c84d1-28ba-4653-8447-0db9311b9440,Furniture,3681.34,5,0.29,542.51,2020-11-12,2020-11-15,Home Office,San Diego,Accessories,High,Offline,South,Express,e08a1655-f33d-4850-971f-957aeed828b0,Brian Torres,Oklahoma,69511,leg
149502e2-112a-4a48-a4f4-989759db8a7f,3947b9cb-59c8-46ad-830c-ba91667bcfa7,Technology,1170.02,3,0.02,454.8,2023-09-28,2023-10-03,Consumer,Philadelphia,Bookcases,High,Online,South,Express,bbf2b34e-1d3c-46fc-bee1-a38b638c6466,John Morgan,Maine,66505,foot
dcc943c6-78b7-46a3-b85c-f543c2d60fb3,7dd6b270-abd6-41c2-84ed-cc2045cd23e6,Furniture,4391.08,10,0.25,430.41,2022-09-04,2022-09-06,Consumer,Los Angeles,Tables,Critical,Offline,West,Standard,b0c9a3cf-7801-4224-a522-68f56b4efddc,Dr. Nicholas Torres MD,Maine,56686,feel
83aa30f7-fb4e-4dbb-99d4-257624c50370,5ad0b1f8-53a2-4691-b57a-21f4929fb123,Technology,1594.86,7,0.26,1144.6,2024-11-23,2024-11-24,Home Office,San Jose,Bookcases,Low,Offline,North,Standard,d0aed9dc-e943-406b-ad98-32d0b15c955e,Darlene Olson,West Virginia,49324,situation
2453c494-7d0f-40a2-ab9c-c7ed57c25145,2899d4b9-a097-4d55-839d-b3f2dd4ea31c,Technology,558.41,2,0.22,382.1,2024-06-15,2024-06-16,Consumer,San Jose,Tables,High,Online,North,Express,f73ee9bc-f840-4a3f-b000-0f387c195ee6,Brian Mathews,Kansas,92502,difference
7e4ac114-7b23-461d-89da-c58977f9811d,d53cb9ec-7bf5-4bae-bbaf-36223e945c77,Technology,2541.52,9,0.16,984.04,2021-06-03,2021-06-07,Corporate,Los Angeles,Binders,Medium,Offline,South,Standard,5d2ae048-9a10-486b-b641-9af886995107,Kim Perez DVM,Illinois,60905,short
2a65c63f-7b8a-4418-99c7-ef8a2f4833aa,4996f3eb-1da2-4af2-9394-2a596e1c72ef,Furniture,1565.27,5,0.05,661.46,2020-08-13,2020-08-22,Corporate,San Jose,Copiers,Low,Offline,North,Standard,120f0eaf-c7a0-4fe8-b99b-dddd509c37ec,Gary Howard,Minnesota,91529,side
328ea9ea-db88-43b5-90ab-6126a8be14ed,f405b7fd-79d1-418d-8b09-d9247bfda700,Technology,373.17,5,0.11,647.23,2024-01-16,2024-01-18,Consumer,Dallas,Chairs,High,Online,West,Express,240b43d2-7de5-4c13-a725-5bd2973562bd,Dr. Carlos Bates DDS,Minnesota,86910,once
05ee0919-a646-41d5-ad6a-3155198f098b,e760a0f2-a8fe-40b5-9e4e-f24a8ed992f6,Office Supplies,276.31,7,0.21,1469.54,2024-06-25,2024-06-29,Home Office,Los Angeles,Accessories,High,Online,North,Express,155bf4da-0618-4279-8d65-dfe0e0890cf9,Sheryl Rodriguez,Kentucky,18890,attack
791bee1a-f774-4c8b-b013-32f479239e1c,1913c98b-3e3c-4fc6-9e1f-6a8541e62f9f,Furniture,4744.89,3,0.27,1027.29,2020-10-28,2020-11-07,Home Office,San Diego,Art,Low,Online,North,Standard,bac81288-05a9-4033-9029-5d952054c4a9,Jason Duarte,South Dakota,55259,small
b3662775-eeed-4d04-abb7-0c76ca0b1eca,227e879d-7b10-4209-97c7-a80f73f6010c,Furniture,2306.84,7,0.03,906.99,2022-08-18,2022-08-28,Consumer,San Diego,Phones,Low,Online,South,Express,b355fdaa-e2c9-4966-b540-ff9a10de437c,Katherine Lloyd,Connecticut,98586,accept
d00bfcd9-9cba-4c8a-acd6-e70742fa80a4,cbff317c-a3e7-422a-a8ea-177be4e1eb20,Furniture,2625.43,8,0.28,282.85,2020-07-16,2020-07-21,Consumer,Philadelphia,Machines,High,Offline,West,Standard,7899a709-a688-489b-8b6a-877ed7dc96d3,Christopher Allen,Washington,93463,common
9aafbb48-37b8-4e16-99bb-70817636a1d7,2e05b4cf-4e0a-46b8-9d51-e7d37a4490dd,Furniture,2644.38,2,0.27,337.08,2020-10-26,2020-10-27,Corporate,Philadelphia,Chairs,Medium,Offline,North,Standard,655e15aa-2acb-40a9-8dea-41e7092a62a3,Roger Landry,Ohio,82643,one
c32e4fc0-2c2e-465f-b0af-3c1cc5cf59e4,16f6196b-01bb-47f1-8bba-2372bb21a34c,Furniture,2196.64,5,0.21,625.25,2022-10-07,2022-10-12,Consumer,Los Angeles,Bookcases,Low,Online,North,Standard,45b40e2b-f4fd-4c90-90e8-e173c8b2cd0f,Elizabeth Jones,Alaska,84708,hold
1a5e0cff-0eb2-439f-83e5-1c95fce8a777,1255afc8-04bd-4698-8507-e54df88119ad,Technology,3449.56,7,0.02,12.8,2022-09-11,2022-09-18,Consumer,Chicago,Art,Low,Online,North,Standard,105604c2-0be7-45da-9e40-8bb64f2e3ea1,Timothy Peterson,Utah,74137,challenge
9e8fb1b7-dff5-4633-8849-7351f6124564,991cf894-1e83-42b3-9226-4ecc23fa94ef,Technology,712.26,3,0.06,970.83,2021-09-21,2021-09-28,Consumer,San Jose,Phones,High,Offline,North,Express,10f5f50a-a283-4274-8f23-5937209fc73d,Anne Pearson,New Hampshire,38716,phone
6ca61e49-9bb2-4b2d-9cf3-1a286c4c48f2,a44c6f53-a525-4dad-9cf7-d6537927fcd9,Furniture,4980.89,9,0.06,565.39,2022-08-11,2022-08-17,Consumer,Phoenix,Copiers,Low,Online,South,Standard,66f8cd4f-a052-45df-b223-ff7dfb768c2a,Michael Patterson,South Carolina,93278,father
0debb7b8-18ec-4153-b514-b62f451af17d,87503d73-1754-436c-b240-438a54cbda7b,Technology,2476.38,4,0.19,680.42,2021-12-13,2021-12-19,Consumer,Phoenix,Binders,Low,Online,South,Express,1d051340-43dc-4b82-b286-17eec138fa80,Kim Stevenson,Kansas,13739,pull
9f2bd8fe-cafe-46ac-bb84-f9a4a9c50cdf,b90429db-0f60-4d42-befb-f5aad2630ed7,Furniture,3763.07,2,0.0,194.21,2022-06-23,2022-07-03,Consumer,Los Angeles,Art,Critical,Offline,North,Express,4f130807-2f7a-4553-a78e-35d26b8e71c8,Karen Miller,Indiana,93918,off
